time_s,measured_displacement_mm,predicted_displacement_mm,measured_force_N,predicted_force_N,displacement_error_mm,force_error_N
0.53,-3.4972,-3.5138612,-0.009312399,-0.008586792,0.016661167,-0.00072560646
0.532,-3.2728,-3.2832427,-0.008317899,-0.0077429265,0.010442734,-0.0005749725
0.534,-3.0555,-3.058849,-0.0070744995,-0.0064235907,0.0033490658,-0.0006509088
0.536,-2.8468,-2.842558,-0.0053624995,-0.0048592333,-0.004242182,-0.00050326623
0.538,-2.6476,-2.6361306,-0.0031474996,-0.0028145034,-0.011469364,-0.00033299625
0.54,-2.4584,-2.440958,-0.0004217606,-0.00025556423,-0.017441988,-0.00016619638
0.542,-2.2791,-2.2581954,0.0026364,0.0027382225,-0.020904541,-0.00010182243
0.544,-2.1098,-2.0883112,0.0061785,0.0057800515,-0.021488905,0.00039844867
0.546,-1.9495,-1.9314601,0.01004,0.009037501,-0.018039823,0.0010024989
0.548,-1.7973,-1.7861285,0.014151,0.012726421,-0.01117146,0.0014245799
0.55,-1.652,-1.6498624,0.018327,0.016692294,-0.0021375418,0.0016347058
0.552,-1.5122,-1.5196927,0.022565,0.020399407,0.0074926615,0.0021655932
0.554,-1.3768,-1.3926632,0.02679,0.023829458,0.0158633,0.0029605422
0.556,-1.2446,-1.2662892,0.030937,0.027216844,0.021689177,0.003720155
0.558,-1.1142,-1.1389012,0.035054,0.030824263,0.024701238,0.0042297356
0.56,-0.9846501,-1.0096887,0.038851,0.034782104,0.02503866,0.004068896
0.562,-0.8552,-0.8791538,0.04239,0.038629614,0.023953795,0.0037603863
0.564,-0.72524,-0.74810743,0.045628,0.042206757,0.022867441,0.0034212433
0.566,-0.59436,-0.61675394,0.048538,0.04543061,0.022393942,0.0031073876
0.568,-0.46238995,-0.48463368,0.05031,0.04842183,0.022243738,0.0018881708
0.57,-0.32983994,-0.3514421,0.052235,0.050387543,0.021602154,0.0018474571
0.572,-0.19738996,-0.21749926,0.053735,0.05252017,0.020109296,0.0012148283
0.574,-0.065650105,-0.08326149,0.05481,0.054235402,0.017611384,0.0005745962
0.576,0.064512014,0.05083573,0.055462,0.0555612,0.013676286,-9.9200755e-05
0.578,0.19208002,0.18336117,0.055693,0.05634319,0.008718848,-0.0006501898
0.58,0.3162899,0.31207108,0.056946,0.056424156,0.0042188168,0.0005218424
0.582,0.43672013,0.4354155,0.055706,0.0572987,0.0013046265,-0.0015926994
0.584,0.55138993,0.5524008,0.054007,0.05540736,-0.0010108948,-0.001400359
0.586,0.65836,0.66142416,0.051938,0.052751176,-0.0030641556,-0.000813175
0.588,0.7556701,0.7610469,0.049569,0.049405783,-0.005376816,0.00016321614
0.59,0.84134007,0.84894013,0.04694,0.04574136,-0.007600069,0.0011986382
0.592,0.91341996,0.9221482,0.044075,0.042320598,-0.008728266,0.0017544031
0.594,0.96889997,0.9783075,0.041317,0.039433584,-0.00940752,0.0018834174
0.596,1.0077999,1.0150197,0.038,0.037219588,-0.0072197914,0.00078041106
0.598,1.0277,1.0334482,0.034521,0.03456141,-0.005748272,-4.041195e-05
0.6,1.0265,1.0322683,0.03089,0.031615738,-0.005768299,-0.0007257387
0.602,1.0021999,1.0097768,0.0271,0.028346468,-0.0075769424,-0.0012464672
0.604,0.95297,0.9636512,0.023135,0.024748094,-0.010681152,-0.0016130935
