Time_s,Current_A,CoilForce_N,WeightLoad_N,NetForce_N,Displacement_mm
0.1576,0.2,0.021285,0.025637,-0.004352,4.74203347379348
0.1584,0.2,0.021144,0.025637,-0.004493,4.7500465576625
0.1592,0.2,0.021021,0.025637,-0.004616,4.75701977864831
0.16,0.2,0.020916,0.025637,-0.004721,4.76295445416102
0.1608,0.2,0.02083,0.025637,-0.004807,4.76785536900386
0.1616,0.2,0.020762,0.025637,-0.004875,4.77173066115659
0.1624,0.2,0.020712,0.025637,-0.004925,4.77459170264623
0.1632,0.2,0.02068,0.025637,-0.004957,4.7764529756442
0.164,0.2,0.020664,0.025637,-0.004973,4.77733194398594
0.1648,0.2,0.020666,0.025637,-0.004971,4.7772489203661
0.1656,0.2,0.020684,0.025637,-0.004953,4.77622692951492
0.1664,0.2,0.020718,0.025637,-0.004919,4.77429156770818
0.1672,0.2,0.020767,0.025637,-0.00487,4.77147085900199
0.168,0.2,0.020832,0.025637,-0.004805,4.76779510861559
0.1688,0.2,0.020911,0.025637,-0.004726,4.76329675390759
0.1696,0.2,0.021004,0.025637,-0.004633,4.75801021340499
0.1704,0.2,0.02111,0.025637,-0.004527,4.75197173434915
0.1712,0.2,0.021229,0.025637,-0.004408,4.74521923921787
0.172,0.2,0.02136,0.025637,-0.004277,4.73779217166893
0.1728,0.2,0.021503,0.025637,-0.004134,4.72973134232693
0.1736,0.2,0.021657,0.025637,-0.00398,4.72107877480382
0.1744,0.2,0.021821,0.025637,-0.003816,4.71187755230424
0.1752,0.2,0.021994,0.025637,-0.003643,4.70217166512189
0.176,0.2,0.022176,0.025637,-0.003461,4.69200585928452
0.1768,0.2,0.022366,0.025637,-0.003271,4.68142548655467
0.1776,0.2,0.022564,0.025637,-0.003073,4.67047635594517
0.1784,0.2,0.022768,0.025637,-0.002869,4.65920458686329
0.1792,0.2,0.022978,0.025637,-0.002659,4.64765646396032
0.18,0.2,0.023193,0.025637,-0.002444,4.63587829373433
0.1808,0.2,0.023413,0.025637,-0.002224,4.62391626291719
0.1816,0.2,0.023636,0.025637,-0.002001,4.61181629867169
0.1824,0.2,0.023862,0.025637,-0.001775,4.59962393063252
0.1832,0.2,0.02409,0.025637,-0.001547,4.58738415484662
0.184,0.2,0.02432,0.025637,-0.001317,4.57514129970044
0.1848,0.2,0.02455,0.025637,-0.001087,4.5629388939663
0.1856,0.2,0.02478,0.025637,-0.000857,4.5508195371518
0.1864,0.2,0.025009,0.025637,-0.000628,4.53882477239519
0.1872,0.2,0.025236,0.025637,-0.000400999999999999,4.52699496221198
0.188,0.2,0.02546,0.025637,-0.000177,4.51536916746139
0.1888,0.2,0.025681,0.025637,4.39999999999989e-05,4.50398502996253
0.1896,0.2,0.025898,0.025637,0.000261000000000001,4.49287865924689
0.1904,0.2,0.02611,0.025637,0.000473000000000001,4.48208452398343
0.1912,0.2,0.026317,0.025637,0.00068,4.47163534865223
0.192,0.2,0.026517,0.025637,0.000879999999999999,4.46156201607181
0.1928,0.2,0.02671,0.025637,0.001073,4.45189347640121
0.1936,0.2,0.026895,0.025637,0.001258,4.44265666324027
0.1944,0.2,0.027072,0.025637,0.001435,4.43387641744029
0.1952,0.2,0.02724,0.025637,0.001603,4.42557541921145
0.196,0.2,0.027399,0.025637,0.001762,4.41777412907511
0.1968,0.2,0.027548,0.025637,0.001911,4.41049073815731
0.1976,0.2,0.027686,0.025637,0.002049,4.40374112825813
0.1984,0.2,0.027813,0.025637,0.002176,4.39753884205968
0.1992,0.2,0.02793,0.025637,0.002293,4.39189506375632
0.2,0.2,0.028035,0.025637,0.002398,4.38681861030582
0.2008,0.2,0.028128,0.025637,0.002491,4.38231593341136
0.2016,0.2,0.02821,0.025637,0.002573,4.37839113225344
0.2024,0.2,0.02828,0.025637,0.002643,4.37504597690014
0.2032,0.2,0.028337,0.025637,0.0027,4.37227994223416
0.204,0.2,0.028383,0.025637,0.002746,4.37009025214883
0.2048,0.2,0.028417,0.025637,0.00278,4.36847193368235
0.2056,0.2,0.028439,0.025637,0.002802,4.36741788068157
0.2064,0.2,0.028449,0.025637,0.002812,4.36691892651541
0.2072,0.2,0.028448,0.025637,0.002811,4.36696392529222
0.208,0.2,0.028436,0.025637,0.002799,4.36753984097736
0.2088,0.2,0.028414,0.025637,0.002777,4.36863184375648
0.2096,0.2,0.02838,0.025637,0.002743,4.37022341294678
0.2104,0.2,0.028337,0.025637,0.0027,4.37229644572331
0.2112,0.2,0.028284,0.025637,0.002647,4.37483137089988
0.212,0.2,0.028222,0.025637,0.002585,4.37780726698502
0.2128,0.2,0.028151,0.025637,0.002514,4.38120198372171
0.2136,0.2,0.028073,0.025637,0.002436,4.38499226631628
0.2144,0.2,0.027986,0.025637,0.002349,4.38915388156554
0.2152,0.2,0.027893,0.025637,0.002256,4.39366174510282
0.216,0.2,0.027794,0.025637,0.002157,4.39849004900213
0.2168,0.2,0.027688,0.025637,0.002051,4.40361238900442
0.2176,0.2,0.027578,0.025637,0.001941,4.40900189066157
0.2184,0.2,0.027463,0.025637,0.001826,4.41463133373044
0.2192,0.2,0.027344,0.025637,0.001707,4.42047327419088
0.22,0.2,0.027221,0.025637,0.001584,4.42650016330801
0.2208,0.2,0.027096,0.025637,0.001459,4.43268446320818
0.2216,0.2,0.026968,0.025637,0.001331,4.43899875848989
0.2224,0.2,0.026839,0.025637,0.001202,4.44541586344494
0.2232,0.2,0.026709,0.025637,0.001072,4.45190892451941
0.224,0.2,0.026578,0.025637,0.000941000000000001,4.45845151769883
0.2248,0.2,0.026448,0.025637,0.000810999999999999,4.46501774055556
0.2256,0.2,0.026317,0.025637,0.00068,4.47158229874881
0.2264,0.2,0.026188,0.025637,0.000550999999999999,4.47812058681796
0.2272,0.2,0.02606,0.025637,0.000423,4.4846087631573
0.228,0.2,0.025934,0.025637,0.000296999999999999,4.49102381910438
0.2288,0.2,0.025811,0.025637,0.000174000000000001,4.49734364211529
0.2296,0.2,0.02569,0.025637,5.3000000000001e-05,4.50354707303692
0.2304,0.2,0.025572,0.025637,-6.49999999999991e-05,4.50961395751924
0.2312,0.2,0.025457,0.025637,-0.00018,4.51552519164011
0.232,0.2,0.025346,0.025637,-0.000291,4.52126276184026
0.2328,0.2,0.025239,0.025637,-0.000397999999999999,4.52680977928733
0.2336,0.2,0.025137,0.025637,-0.0005,4.53215050880642
0.2344,0.2,0.025038,0.025637,-0.000598999999999999,4.53727039252893
0.2352,0.2,0.024945,0.025637,-0.000692000000000002,4.54215606842326
0.236,0.2,0.024856,0.025637,-0.000781,4.54679538388032
0.2368,0.2,0.024773,0.025637,-0.000864,4.55117740453332
0.2376,0.2,0.024695,0.025637,-0.000941999999999998,4.55529241849628
0.2384,0.2,0.024622,0.025637,-0.001015,4.55913193620873
0.2392,0.2,0.024555,0.025637,-0.001082,4.56268868607588
0.24,0.2,0.024493,0.025637,-0.001144,4.56595660609441
0.2408,0.2,0.024437,0.025637,-0.0012,4.56893083165331
0.2416,0.2,0.024386,0.025637,-0.001251,4.57160767969903
0.2424,0.2,0.024342,0.025637,-0.001295,4.57398462945233
0.2432,0.2,0.024303,0.025637,-0.001334,4.57606029986301
0.244,0.2,0.024269,0.025637,-0.001368,4.57783442398658
0.2448,0.2,0.024242,0.025637,-0.001395,4.57930782046519
0.2456,0.2,0.024219,0.025637,-0.001418,4.58048236229286
0.2464,0.2,0.024203,0.025637,-0.001434,4.58136094304337
0.2472,0.2,0.024192,0.025637,-0.001445,4.5819474407367
0.248,0.2,0.024186,0.025637,-0.001451,4.58224667951824
0.2488,0.2,0.024186,0.025637,-0.001451,4.58226438932274
0.2496,0.2,0.024191,0.025637,-0.001446,4.58200716369304
0.2504,0.2,0.024201,0.025637,-0.001436,4.58148241592158
0.2512,0.2,0.024215,0.025637,-0.001422,4.58069833368063
0.252,0.2,0.024235,0.025637,-0.001402,4.5796638323052
0.2528,0.2,0.024259,0.025637,-0.001378,4.57838850689054
0.2536,0.2,0.024287,0.025637,-0.00135,4.57688258336381
0.2544,0.2,0.02432,0.025637,-0.001317,4.57515686868789
0.2552,0.2,0.024356,0.025637,-0.001281,4.57322270035244
0.256,0.2,0.024396,0.025637,-0.001241,4.57109189530612
0.2568,0.2,0.02444,0.025637,-0.001197,4.56877669848081
0.2576,0.2,0.024487,0.025637,-0.00115,4.5662897310573
0.2584,0.2,0.024537,0.025637,-0.0011,4.56364393861932
0.2592,0.2,0.024589,0.025637,-0.001048,4.56085253934122
0.26,0.2,0.024645,0.025637,-0.000992,4.55792897235178
0.2608,0.2,0.024703,0.025637,-0.000934000000000001,4.55488684641582
0.2616,0.2,0.024762,0.025637,-0.000875000000000001,4.55173988907196
0.2624,0.2,0.024824,0.025637,-0.000813000000000001,4.54850189636383
0.2632,0.2,0.024887,0.025637,-0.000750000000000001,4.54518668329985
0.264,0.2,0.024952,0.025637,-0.000685000000000002,4.54180803517416
0.2648,0.2,0.025017,0.025637,-0.000619999999999999,4.53837965987985
0.2656,0.2,0.025084,0.025637,-0.000553000000000001,4.53491514134281
0.2664,0.2,0.025151,0.025637,-0.000486,4.53142789420247
0.2672,0.2,0.025218,0.025637,-0.000418999999999999,4.52793111986244
0.268,0.2,0.025285,0.025637,-0.000352000000000002,4.52443776403205
0.2688,0.2,0.025352,0.025637,-0.000285000000000001,4.52097456263393
0.2696,0.2,0.025418,0.025637,-0.000219,4.51755154274209
0.2704,0.2,0.025483,0.025637,-0.000154000000000001,4.51418000004232
0.2712,0.2,0.025547,0.025637,-8.99999999999998e-05,4.5108707596721
0.272,0.2,0.02561,0.025637,-2.69999999999992e-05,4.50763414857304
0.2728,0.2,0.025672,0.025637,3.50000000000003e-05,4.50447997016611
0.2736,0.2,0.025731,0.025637,9.40000000000003e-05,4.50141748140754
0.2744,0.2,0.025789,0.025637,0.000151999999999999,4.49845537227423
0.2752,0.2,0.025845,0.025637,0.000208,4.49560174771955
0.276,0.2,0.025898,0.025637,0.000261000000000001,4.49286411213055
0.2768,0.2,0.02595,0.025637,0.000313000000000001,4.49024935630809
0.2776,0.2,0.025998,0.025637,0.000361,4.48776374698172
0.2784,0.2,0.026045,0.025637,0.000407999999999999,4.48541291886035
0.2792,0.2,0.026088,0.025637,0.000451,4.48320186920991
0.28,0.2,0.026129,0.025637,0.000491999999999999,4.48113495493817
0.2808,0.2,0.026167,0.025637,0.000529999999999999,4.47921589215627
0.2816,0.2,0.026202,0.025637,0.000565,4.47744775817676
0.2824,0.2,0.026234,0.025637,0.000597,4.47583299589613
0.2832,0.2,0.026262,0.025637,0.000625000000000001,4.47437342050138
0.284,0.2,0.026288,0.025637,0.000650999999999999,4.47307022842893
0.2848,0.2,0.026311,0.025637,0.000674000000000001,4.47192400849579
0.2856,0.2,0.02633,0.025637,0.000692999999999999,4.47093475511331
0.2864,0.2,0.026347,0.025637,0.000709999999999999,4.4701018834862
0.2872,0.2,0.02636,0.025637,0.000723000000000001,4.46942424669104
0.288,0.2,0.026371,0.025637,0.000733999999999999,4.46890015452228
0.2888,0.2,0.026378,0.025637,0.000740999999999999,4.46852739398694
0.2896,0.2,0.026383,0.025637,0.000746,4.468303251324
0.2904,0.2,0.026384,0.025637,0.000747000000000001,4.46822453541975
0.2912,0.2,0.026383,0.025637,0.000746,4.46828760248664
0.292,0.2,0.026379,0.025637,0.000742,4.46848838186998
0.2928,0.2,0.026372,0.025637,0.000735,4.46882240284534
0.2936,0.2,0.026363,0.025637,0.000726000000000001,4.46928482226733
0.2944,0.2,0.026351,0.025637,0.000713999999999999,4.46987045293093
0.2952,0.2,0.026338,0.025637,0.000701,4.47057379250649
0.296,0.2,0.026321,0.025637,0.000684000000000001,4.47138905291082
0.2968,0.2,0.026303,0.025637,0.000666,4.47231018997876
0.2976,0.2,0.026283,0.025637,0.000646000000000001,4.47333093330238
0.2984,0.2,0.026261,0.025637,0.000624,4.4744448161082
0.2992,0.2,0.026237,0.025637,0.0006,4.47564520504687
0.3,0.2,0.026212,0.025637,0.000574999999999999,4.47692532977424
0.3008,0.2,0.026185,0.025637,0.000548,4.47827831220773
0.3016,0.2,0.026157,0.025637,0.00052,4.47969719534764
0.3024,0.2,0.026128,0.025637,0.000490999999999998,4.48117497155858
0.3032,0.2,0.026098,0.025637,0.000461,4.48270461021251
0.304,0.2,0.026067,0.025637,0.00043,4.48427908460159
0.3048,0.2,0.026035,0.025637,0.000397999999999999,4.48589139803526
0.3056,0.2,0.026003,0.025637,0.000365999999999998,4.48753460904325
0.3064,0.2,0.02597,0.025637,0.000333,4.48920185561265
0.3072,0.2,0.025937,0.025637,0.000300000000000002,4.49088637839464
0.308,0.2,0.025904,0.025637,0.000267,4.49258154282305
0.3088,0.2,0.025871,0.025637,0.000234000000000002,4.49428086009393
0.3096,0.2,0.025837,0.025637,0.000199999999999999,4.4959780069622
0.3104,0.2,0.025804,0.025637,0.000167,4.49766684431813
0.3112,0.2,0.025772,0.025637,0.000135,4.49934143451264
0.312,0.2,0.025739,0.025637,0.000102000000000001,4.50099605740728
0.3128,0.2,0.025708,0.025637,7.10000000000016e-05,4.50262522513041
0.3136,0.2,0.025677,0.025637,3.99999999999984e-05,4.50422369552705
